price	name	product_name	strength	pack_size	form	scientificName	scientific_category	consumer_category	company	route	description	imageUrl
330.5	أبيليفي 15 مجم 10 أقراص	أبيليفي	15 مجم	10	أقراص	أريبيبرازول	مضادات الذهان النفسية	الصحة النفسية	أوتسوكا	فموي صلب	يعالج الحالات النفسية مثل الفصام والاضطراب ثنائي القطب عن طريق موازنة كيمياء المخ. يُصرف بوصفة طبية.	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/abilify-15-mg-10-tablets-956297.jpg?v=1729196907
134.5	أبيليفي 5 مجم 10 أقراص	أبيليفي	5 مجم	10	أقراص	أريبيبرازول	مضادات الذهان النفسية	الصحة النفسية	أوتسوكا	فموي صلب	يعالج الحالات النفسية مثل الفصام والاضطراب ثنائي القطب عن طريق موازنة كيمياء المخ. يُصرف بوصفة طبية.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/abilify-5-mg-10-tablets-9172616.jpg?v=1762508400
24.0	أبيمول 500 مجم 20 أقراص	أبيمول	500 مجم	20	أقراص	باراسيتامول (أسيتامينوفين)	خافض للحرارة	المسكنات	جلاكسو سميثكلين	فموي صلب	يخفض الحرارة ويخفف الألم الخفيف مثل الصداع وآلام الجسم.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/abimol-500-mg-20-tablets-7308198.jpg?v=1764283687
28.0	أبيمول إيكسترا 20 أقراص	أبيمول إيكسترا		20	أقراص	كافيين + باراسيتامول	مسكن وخافض للحرارة	المسكنات	جلاكسو سميثكلين	فموي صلب	يخفف الألم ويخفض الحرارة، شائع الاستخدام للصداع ونزلات البرد والإنفلونزا.	https://demov2.egypt.dawatech.com/web/image/product.template/16570/image_1920
65.0	أسيتوثيم 10 أكياس	أسيتوثيم		10	أكياس	ناسيتيل لسيستيين + ثيم + فيتامين س	مذيب للبلغم وملطف ومضاد للأكسدة	البرد والسعال	كوباد إيجيبت > أدفوكور فارماسيوتيكالز	فوار	يذيب بلغم الصدر ويهدّئ السعال مع دعم مضاد للأكسدة.	https://demov2.egypt.dawatech.com/web/image/product.template/15716/image_1920
51.0	أتشتينون 2 مجم 30 أقراص	أتشتينون	2 مجم	30	أقراص	بيبيريدين	مضاد باركنسون - مضاد مسكاريني	المخ والأعصاب	أراب دراج كومباني (أدكو)	فموي صلب	يخفف رعشة وتيبّس باركنسون ويضبط الآثار الحركية لبعض الأدوية النفسية. يُصرف بوصفة طبية.	https://demov2.egypt.dawatech.com/web/image/product.template/13778/image_1920
65.0	أكنيفيرا صابون 80 جم	أكنيفيرا		80 جم	صابون	ألوي فيرا + زينس أوكسيد + ساليسيليس أسيد + سولفور + ريسورسينول	مضاد لحب الشباب	العناية بالبشرة	هيكار > روفاميد فارما	موضعي	يعالج حب الشباب عن طريق فتح المسام المسدودة وتقليل الدهون وتهدئة البثور والرؤوس السوداء.	https://demov2.egypt.dawatech.com/web/image/product.template/13303/image_1920
39.0	أكتيفاست 50 مجم 30 أقراص	أكتيفاست	50 مجم	30	أقراص	ديكلوفيناك بوتاسيوم	مضاد التهاب - مشتق حمض الخليك	القلب والضغط	سيجما > أوكتوبير فارما	فموي صلب	مسكن سريع المفعول مضاد للالتهاب لآلام العضلات والمفاصل والظهر والدورة الشهرية.	https://demov2.egypt.dawatech.com/web/image/product.template/17101/image_1920
210.0	أسيكلوفير ستادا 35 أقراص	أسيكلوفير ستادا		35	أقراص	أسيكلوفير	مضاد فيروسي - نيوكليوزيد	مضادات الفيروسات	جلوبال نابي فارماسيوتيكالز > ستادا	فموي صلب	يعالج عدوى فيروس الهربس مثل قرح البرد والحزام الناري والجديري المائي، ويعمل بشكل أفضل عند البدء مبكرًا.	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/acyclovir-stada-400-mg-35-tablets-689532.jpg?v=1698896109
280.0	أسيكلوفير ستادا 35 أقراص	أسيكلوفير ستادا		35	أقراص	أسيكلوفير	مضاد فيروسي - نيوكليوزيد	مضادات الفيروسات	جلوبال نابي فارماسيوتيكالز > ستادا	فموي صلب	يعالج عدوى فيروس الهربس مثل قرح البرد والحزام الناري والجديري المائي، ويعمل بشكل أفضل عند البدء مبكرًا.	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/acyclovir-stada-800-mg-35-tablets-939342.jpg?v=1736607097
